# AI NARRATIVE: No recombination narrative could be generated.
Date/Time (UTC),"Type transcation(mixing,bridging)",TX Hash,From Wallet(Entity),To Wallet(Entity),To Receiver Entity,Amount,Transaction Type,Behavioral Cluster,Clustered address{root}ENTITY,Confidence,Transaction Attributions,Transaction intelligence
2026-04-12 15:53:41,NATIVE_TRANSFER,0x937660700d14b2882da5c69565f99172b322a7e0f11dc5c4e72be14c050efc10,0x46dd5eea1cd2dac0a248730d60a65370bc7d7c28 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,20.0000 ARK,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-18 08:10:59,CROSS_CHAIN_HOP,Cross-Chain-Wrap-9473a43e,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,450.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-04-18 08:10:59,NATIVE_TRANSFER,0x2427a27acd8c3af0c802808112b182c4ef6b3f0bc1c93b23a5e730ba9473a43e,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x1e65ee98bb08781dc63f7f3f9b5c19616cecc49e (Exchange CEX),Exchange CEX,450.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-18 08:10:59,NATIVE_TRANSFER,0x2427a27acd8c3af0c802808112b182c4ef6b3f0bc1c93b23a5e730ba9473a43e,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0057 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-01-21 08:19:28,NATIVE_TRANSFER,74c95bf850041a0976a1039ce48969d0879830fd0bf100d1a3f4ecaa4c98b8fd,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),bc1qe7s92e7fg5sar0wf2gc7uk7m74sk8q5wgd9r37 (Okx CEX),Okx CEX,0.0166 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-01-21 07:25:25,NATIVE_TRANSFER,4d7365a65d16bce9a2ece7c2a0315c2b27621b67fc4f4f5faf4ce33811db3f43,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),bc1qpupkkpuplvgcxgg90cx4qhlwp2v9h85xjjf3nf (Okx CEX),Okx CEX,0.0050 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-23 10:00:17,NATIVE_TRANSFER,0x5742ed71647b1066ef74c9764cbf5992704584c40f5e1ce71007a4ace81a7a4d,0x26b610a059de2488ebe3e0eda02ae17907917419 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,9990.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-25 01:49:01,CROSS_CHAIN_HOP,Cross-Chain-Wrap-b3b3730a,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,1000.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-04-25 01:49:01,NATIVE_TRANSFER,0x991b8eb591e34d41f47cedc617ea9387a748f86a69c86c7d741328f7b3b3730a,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x1e65ee98bb08781dc63f7f3f9b5c19616cecc49e (Exchange CEX),Exchange CEX,1000.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-25 01:49:01,NATIVE_TRANSFER,0x991b8eb591e34d41f47cedc617ea9387a748f86a69c86c7d741328f7b3b3730a,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0054 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-01-21 07:16:17,UTXO_FAN_OUT,887026ef12696b59f0ff674131ee43b66677ed07639b74d72d3ef52a68c01698,bc1q0xkv55cvdaa2dzlsvsvvjkxtp77rkeqmje2gwv (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),Okx CEX,10.0000 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,PEEL_CHAIN,Threat actor operational timing
2026-04-26 06:43:57,CROSS_CHAIN_HOP,Cross-Chain-Wrap-f17f0db8,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,1000.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-04-26 06:43:57,NATIVE_TRANSFER,0x264b4f90285fcf7537779fed32b8e4ada81039716f0c2433d9283556f17f0db8,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x1e65ee98bb08781dc63f7f3f9b5c19616cecc49e (Exchange CEX),Exchange CEX,1000.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-26 06:43:57,NATIVE_TRANSFER,0x264b4f90285fcf7537779fed32b8e4ada81039716f0c2433d9283556f17f0db8,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0054 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-27 02:59:43,CROSS_CHAIN_HOP,Cross-Chain-Wrap-ac2a04c4,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,8000.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-04-27 02:59:43,NATIVE_TRANSFER,0x6738e5eb4469adc11919595badbbeecbd35d8ac216084ffaae882082ac2a04c4,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x1e65ee98bb08781dc63f7f3f9b5c19616cecc49e (Exchange CEX),Exchange CEX,8000.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-27 02:59:43,NATIVE_TRANSFER,0x6738e5eb4469adc11919595badbbeecbd35d8ac216084ffaae882082ac2a04c4,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0055 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-01 09:23:49,NATIVE_TRANSFER,0x7e55794f100521cd89d0f6b75613f00141dc467f2e6e5b586a079a4984111d80,0x739120ade7ed878fca5bbdb806263a8258fe2360 (coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,39990.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-01 09:51:57,CROSS_CHAIN_HOP,Cross-Chain-Wrap-0958d49a,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,5000.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-05-01 09:51:57,NATIVE_TRANSFER,0x8a51e42e4e73fcef2172bce4ec6b17ca0b4728e9816ec27c250d365b0958d49a,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x466085f1e3b4e5193efe2fd7026d8da1db7719dc (Okx CEX),Okx CEX,5000.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-01 09:51:57,NATIVE_TRANSFER,0x8a51e42e4e73fcef2172bce4ec6b17ca0b4728e9816ec27c250d365b0958d49a,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0058 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 06:47:47,CROSS_CHAIN_HOP,Cross-Chain-Wrap-519adf79,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,1000.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-05-02 06:47:47,NATIVE_TRANSFER,0x0adfc960a82ca8abd7e480e68d0bedc925a8e63cbd8659461d5961a2519adf79,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x2f205deaa5e64d7b0e63e9d917067f9a4cb3f9c3 (Okx CEX),Okx CEX,1000.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 06:47:47,NATIVE_TRANSFER,0x0adfc960a82ca8abd7e480e68d0bedc925a8e63cbd8659461d5961a2519adf79,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0058 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 07:24:27,NATIVE_TRANSFER,0x1efa577d34d562d5ff5dc55649130d7fafcb4d9e64402e576f7d0886f52d4d47,0xd34ea7278e6bd48defe656bbe263aef11101469c (coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,10990.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 07:55:25,CROSS_CHAIN_HOP,Cross-Chain-Wrap-f9feff5c,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,15000.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-05-02 07:55:25,NATIVE_TRANSFER,0xce4d510a2d14cf6f5d6a18601fde07d433d418c84e115f2c732c81f1f9feff5c,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x466085f1e3b4e5193efe2fd7026d8da1db7719dc (Okx CEX),Okx CEX,15000.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 07:55:25,NATIVE_TRANSFER,0xce4d510a2d14cf6f5d6a18601fde07d433d418c84e115f2c732c81f1f9feff5c,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0054 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 15:40:01,CROSS_CHAIN_HOP,Cross-Chain-Wrap-c88ab779,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,29900.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-05-02 15:40:01,NATIVE_TRANSFER,0x08bca3fe2b992103af18b162b9ac230195fbc0c7f08e972cc010476fc88ab779,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x466085f1e3b4e5193efe2fd7026d8da1db7719dc (Okx CEX),Okx CEX,29900.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 15:40:01,NATIVE_TRANSFER,0x08bca3fe2b992103af18b162b9ac230195fbc0c7f08e972cc010476fc88ab779,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0054 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 16:53:29,NATIVE_TRANSFER,0x8175dea92f9f935f57c8818537ce7bea770424243d3aab6cca917d786115bf45,0x466085f1e3b4e5193efe2fd7026d8da1db7719dc (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,900.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 16:55:39,NATIVE_TRANSFER,0x3cf7fb59e23d14908cf21dbdb312d98997be5c0817f504758a8a18eaa51e62be,0x466085f1e3b4e5193efe2fd7026d8da1db7719dc (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,330.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 17:37:03,CROSS_CHAIN_HOP,Cross-Chain-Wrap-9e17bb3e,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,1318.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-05-02 17:37:03,NATIVE_TRANSFER,0x436d5596a67ba702d17cba867b983fbd75faec651e755cc3d3004d2a9e17bb3e,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x466085f1e3b4e5193efe2fd7026d8da1db7719dc (Okx CEX),Okx CEX,1318.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-02 17:37:03,NATIVE_TRANSFER,0x436d5596a67ba702d17cba867b983fbd75faec651e755cc3d3004d2a9e17bb3e,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0054 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-03 03:40:33,NATIVE_TRANSFER,0x793dc3883559bfbb2de999aae17c70693d162e23aded3ad535c122c5f2599eb7,0x6900dfb7d4155fa8cd4c21955613e691db0050a4 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,25.0000 USOR,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-03 23:56:57,NATIVE_TRANSFER,0x56d4aee4ee6912645ce2f707d2a9ef23e0d376e6204a9eb880a499220ba324f2,0xec9f952c083a6139f0661cb2e66c202eec1c2521 (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,2.0000 LFI,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-04 02:17:07,NATIVE_TRANSFER,0x6cf5e54a6851bb60df5d494b1d335f630eeb1f3811b0c2a82f178581b62815a2,0x8f7d66186efc5c999c5b0cda40be74bf90eba655 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,15.0000 GORE FI,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-04 17:18:23,NATIVE_TRANSFER,0x41f1ee609f4580787f51fdaaad9ef86dfb1506643d3fb07bc3b20ff59f5bf20a,0x3060b07794af6922a59c9ef1a33d3da0b5fd4b88 (Okx CEX),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,2.0000 VDOR,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-05 13:43:43,NATIVE_TRANSFER,0xfc4e995ea8aa8969ed8799b88cca3e3805dbf891682dfef68b13cbf3134d1ce3,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0xefdcb047a012a31eef34557362e55ef634e6e309 (Okx CEX),Okx CEX,11.9375 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-05 13:43:43,NATIVE_TRANSFER,0xfc4e995ea8aa8969ed8799b88cca3e3805dbf891682dfef68b13cbf3134d1ce3,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0061 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-05-06 01:20:47,NATIVE_TRANSFER,0x619990755eb03e82a1b2f5bcd27aa7b71be524c7d4546da4bb158e2bfc01b9bf,0x397d17bfcb8145e6bfbb4d1168c1b65de52c3445 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,1.0000 AI,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
